"id","code","name","reconcile","account_type","user_type_id:id","chart_template_id:id"
"account_account_1_1_1_01","1.1.1.01","Caixa","False",,"account.data_account_type_liquidity","br_coa_me_epp_chart_template"
"account_account_1_1_1_02","1.1.1.02","Bancos Conta Movimento","False",,"account.data_account_type_liquidity","br_coa_me_epp_chart_template"
"account_account_1_1_2_01","1.1.2.01","Clientes a Receber","True",,"account.data_account_type_receivable","br_coa_me_epp_chart_template"
"account_account_1_1_2_02","1.1.2.02","(-) Perdas Estimadas com Créditos de Liquidação Duvidosa","False",,"account.data_account_type_current_assets","br_coa_me_epp_chart_template"
"account_account_1_1_3_01","1.1.3.01","Mercadorias","False",,"account.data_account_type_current_assets","br_coa_me_epp_chart_template"
"account_account_1_1_3_02","1.1.3.02","Produtos Acabados","False",,"account.data_account_type_current_assets","br_coa_me_epp_chart_template"
"account_account_1_1_3_03","1.1.3.03","Insumos","False",,"account.data_account_type_current_assets","br_coa_me_epp_chart_template"
"account_account_1_1_4_01","1.1.4.01","Títulos a Receber","True",,"account.data_account_type_receivable","br_coa_me_epp_chart_template"
"account_account_1_1_4_02","1.1.4.02","Impostos a Recuperar","True",,"account.data_account_type_receivable","br_coa_me_epp_chart_template"
"account_account_1_1_4_03","1.1.4.03","Outros Valores a Receber","True",,"account.data_account_type_receivable","br_coa_me_epp_chart_template"
"account_account_1_3_1_01","1.3.1.01","Contas a Receber","True",,"account.data_account_type_receivable","br_coa_me_epp_chart_template"
"account_account_1_3_1_02","1.3.1.02","(-) Perdas Estimadas com Créditos de Liquidação Duvidosa","True",,"account.data_account_type_current_assets","br_coa_me_epp_chart_template"
"account_account_1_3_2_01","1.3.2.01","Participações Societárias","False",,"account.data_account_type_current_assets","br_coa_me_epp_chart_template"
"account_account_1_3_2_02","1.3.2.02","Outros Investimentos","False",,"account.data_account_type_current_assets","br_coa_me_epp_chart_template"
"account_account_1_3_3_01","1.3.3.01","Terrenos","True",,"account.data_account_type_current_assets","br_coa_me_epp_chart_template"
"account_account_1_3_3_02","1.3.3.02","Edificações","False",,"account.data_account_type_current_assets","br_coa_me_epp_chart_template"
"account_account_1_3_3_03","1.3.3.03","Máquinas e Equipamentos","False",,"account.data_account_type_current_assets","br_coa_me_epp_chart_template"
"account_account_1_3_3_04","1.3.3.04","Veículos","False",,"account.data_account_type_current_assets","br_coa_me_epp_chart_template"
"account_account_1_3_3_05","1.3.3.05","Móveis e Utensílios","False",,"account.data_account_type_current_assets","br_coa_me_epp_chart_template"
"account_account_1_3_3_06","1.3.3.06","(-) Depreciação Acumulada","False",,"account.data_account_type_current_assets","br_coa_me_epp_chart_template"
"account_account_1_3_4_01","1.3.4.01","Softwares","False",,"account.data_account_type_current_assets","br_coa_me_epp_chart_template"
"account_account_1_3_4_02","1.3.4.02","(-) Amortização Acumulada","False",,"account.data_account_type_current_assets","br_coa_me_epp_chart_template"
"account_account_2_1_1_01","2.1.1.01","Fornecedor a Pagar","True",,"account.data_account_type_payable","br_coa_me_epp_chart_template"
"account_account_2_1_2_01","2.1.2.01","Empréstimos Bancários","False",,"account.data_account_type_current_liabilities","br_coa_me_epp_chart_template"
"account_account_2_1_2_02","2.1.2.02","Financiamentos","False",,"account.data_account_type_current_liabilities","br_coa_me_epp_chart_template"
"account_account_2_1_3_01","2.1.3.01","Simples Nacional","False",,"account.data_account_type_current_liabilities","br_coa_me_epp_chart_template"
"account_account_2_1_3_02","2.1.3.02","ICMS a Recolher","False",,"account.data_account_type_current_liabilities","br_coa_me_epp_chart_template"
"account_account_2_1_3_03","2.1.3.03","ISSQN a Recolher","False",,"account.data_account_type_current_liabilities","br_coa_me_epp_chart_template"
"account_account_2_1_4_01","2.1.4.01","Salários a Pagar","False",,"account.data_account_type_current_liabilities","br_coa_me_epp_chart_template"
"account_account_2_1_4_02","2.1.4.02","FGTS a Recolher","False",,"account.data_account_type_current_liabilities","br_coa_me_epp_chart_template"
"account_account_2_1_4_03","2.1.4.03","INSS dos Segurados a Recolher","False",,"account.data_account_type_current_liabilities","br_coa_me_epp_chart_template"
"account_account_2_1_5_01","2.1.5.01","Telefone a Pagar","True",,"account.data_account_type_current_liabilities","br_coa_me_epp_chart_template"
"account_account_2_1_5_02","2.1.5.02","Energia a Pagar","True",,"account.data_account_type_current_liabilities","br_coa_me_epp_chart_template"
"account_account_2_1_5_03","2.1.5.03","Aluguel a Pagar","True",,"account.data_account_type_current_liabilities","br_coa_me_epp_chart_template"
"account_account_2_1_6_01","2.1.6.01","Provisão de Férias","False",,"account.data_account_type_current_liabilities","br_coa_me_epp_chart_template"
"account_account_2_1_6_02","2.1.6.02","Provisão de 13º Salário","False",,"account.data_account_type_current_liabilities","br_coa_me_epp_chart_template"
"account_account_2_1_6_03","2.1.6.03","Provisão de Encargos Sociais sobre Férias e 13º Salário","False",,"account.data_account_type_current_liabilities","br_coa_me_epp_chart_template"
"account_account_2_2_1_01","2.2.1.01","Financiamentos Banco","False",,"account.data_account_type_current_liabilities","br_coa_me_epp_chart_template"
"account_account_2_2_2_01","2.2.2.01","Empréstimos de Sócios","False",,"account.data_account_type_current_liabilities","br_coa_me_epp_chart_template"
"account_account_2_3_1_01","2.3.1.01","Capital Subscrito","False",,"account.data_account_type_current_liabilities","br_coa_me_epp_chart_template"
"account_account_2_3_1_02","2.3.1.02","(-) Capital a Integralizar","False",,"account.data_account_type_current_liabilities","br_coa_me_epp_chart_template"
"account_account_2_3_2_01","2.3.2.01","Reservas de Capital","False",,"account.data_account_type_current_liabilities","br_coa_me_epp_chart_template"
"account_account_2_3_2_02","2.3.2.02","Reservas de Lucro","False",,"account.data_account_type_current_liabilities","br_coa_me_epp_chart_template"
"account_account_2_3_3_01","2.3.3.01","Lucros Acumulados","False",,"account.data_unaffected_earnings","br_coa_me_epp_chart_template"
"account_account_2_3_3_02","2.3.3.02","(-) Prejuízos Acumulados","False",,"account.data_unaffected_earnings","br_coa_me_epp_chart_template"
"account_account_3_1_1_01","3.1.1.01","Venda de Produtos","False",,"account.data_account_type_revenue","br_coa_me_epp_chart_template"
"account_account_3_1_1_02","3.1.1.02","Venda de Mercadorias","False",,"account.data_account_type_revenue","br_coa_me_epp_chart_template"
"account_account_3_1_1_03","3.1.1.03","Venda de Serviços","False",,"account.data_account_type_revenue","br_coa_me_epp_chart_template"
"account_account_3_1_1_04","3.1.1.04","(-) Deduções de Tributos, Abatimentos, Devoluções","False",,"account.data_account_type_revenue","br_coa_me_epp_chart_template"
"account_account_3_1_2_01","3.1.2.01","Receitas de Aplicações Financeiras","False",,"account.data_account_type_revenue","br_coa_me_epp_chart_template"
"account_account_3_1_2_02","3.1.2.02","Juros Ativos","False",,"account.data_account_type_revenue","br_coa_me_epp_chart_template"
"account_account_3_1_3_01","3.1.3.01","Receitas de Venda de Imobilizado","False",,"account.data_account_type_revenue","br_coa_me_epp_chart_template"
"account_account_3_1_3_02","3.1.3.02","Receitas de Venda de Investimentos","False",,"account.data_account_type_revenue","br_coa_me_epp_chart_template"
"account_account_3_1_3_03","3.1.3.03","Outras Receitas","False",,"account.data_account_type_revenue","br_coa_me_epp_chart_template"
"account_account_3_1_3_04","3.1.3.04","Variação Monetária Ativa",,,"account.data_account_type_revenue","br_coa_me_epp_chart_template"
"account_account_3_2_1_01","3.2.1.01","Custo dos Insumos","False",,"account.data_account_type_direct_costs","br_coa_me_epp_chart_template"
"account_account_3_2_1_02","3.2.1.02","Custos da Mão de Obra","False",,"account.data_account_type_direct_costs","br_coa_me_epp_chart_template"
"account_account_3_2_1_03","3.2.1.03","Outros Custos","False",,"account.data_account_type_direct_costs","br_coa_me_epp_chart_template"
"account_account_3_2_2_01","3.2.2.01","Despesas Administrativas","False",,"account.data_account_type_expenses","br_coa_me_epp_chart_template"
"account_account_3_2_2_02","3.2.2.02","Despesas com Vendas","False",,"account.data_account_type_expenses","br_coa_me_epp_chart_template"
"account_account_3_2_2_03","3.2.2.03","Outras Despesas Gerais","False",,"account.data_account_type_expenses","br_coa_me_epp_chart_template"
"account_account_3_2_3_01","3.2.3.01","Juros Passivos","False",,"account.data_account_type_expenses","br_coa_me_epp_chart_template"
"account_account_3_2_3_02","3.2.3.02","Outras Despesas Financeiras","False",,"account.data_account_type_expenses","br_coa_me_epp_chart_template"
"account_account_3_2_4_01","3.2.4.01","Despesas com Baixa de Imobilizado","False",,"account.data_account_type_expenses","br_coa_me_epp_chart_template"
